linha_csv;demandante;situacao;motivo;plano;numero_item;classe;valor_total;descricao
624;GPCIV;publicado com pendência;unidade_fornecimento_ausente;170394;328;8415;12000.0;"Coletes: Uniformes civis, militares e seus complementos, Coletes operacionais ou de serviço no CBMDF utilizam o Azul Petróleo (ou Vermelho/Laranja em situações específicas de socorro) e levam o Brasão da Corporação e a inscrição ""BOMBEIROS"" | 339030"
626;DITIC;publicado com pendência;unidade_fornecimento_ausente;170394;329;1313;200000.0;Aquisição de Solução Integrada para gerenciamento de banco de dados | 339039
627;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;330;7210;10596.0;Equipamentos e acessórios para imagens Câmera IP fixa com LPR (License Plate Recognition / Reconhecimento Automático de Placas Veiculares). Mais | 449052
631;GBS;publicado com pendência;unidade_fornecimento_ausente,mes_ausente;170394;331;6910;300.0;"GUIA PARA FARO. Guia para faro confeccionada em fita de nylon; mosquetão tipo argentino em latão maciço | 339030"
633;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;332;4120;23250.0;Aparelhos e central de ar condicionado AR CONDICIONADO | 449052
637;GBS;publicado com pendência;unidade_fornecimento_ausente,mes_ausente;170394;333;6910;17850.0;ESTEIRA PARA CÃES. Equipamento destinado ao condicionamento físico, treinamento e reabilitação de cães, permitindo a prática controlada de exercícios de corrida e caminhada. Pode ser do tipo Treadmill ou Slatmill | 339030
639;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;334;4120;29000.0;Aparelhos e central de ar condicionado AR CONDICIONADO | 449052
643;GBS;publicado com pendência;unidade_fornecimento_ausente,mes_ausente;170394;335;4240;15000.0;RACK METÁLICO DE TRANSPORTE MODULAR. Gaiola metálica com base para movimentação com empilhadeira, com dimensões de aproximadamente 120cm x 120cm x 100cm, para proteção e organização de logística | 449052
649;GBS;publicado com pendência;unidade_fornecimento_ausente,mes_ausente;170394;337;4240;24000.0;"CAIXA DE TRANSPORTE MODULAR. Tipo ""case"" rígido, com dimensões de aproximadamente 140cm x 140cm x 50cm, estanque para proteção e organização de ferramentas e equipamentos | 449052"
651;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;338;7110;462000.0;Ferragens e artefatos de metal, de plástico abrasivo ARMÁRIO BAIXO | 449052
655;GBS;publicado com pendência;unidade_fornecimento_ausente,mes_ausente;170394;339;4240;36000.0;"CAIXA DE TRANSPORTE MODULAR. Tipo ""case"" rígido, com dimensões de aproximadamente 220cm x 100cm x 90cm, estanque para proteção e organização de ferramentas e equipamentos | 449052"
657;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;340;7210;590.0;Peças e acessórios para aparelhos do tipo doméstico Vela para filtro | 449052
661;GBS;publicado com pendência;unidade_fornecimento_ausente,mes_ausente;170394;341;4240;9000.0;"CAIXA DE TRANSPORTE MODULAR. Tipo ""case"" rígido, com dimensões de aproximadamente 60cm x 50cm x 40cm, estanque para proteção e organização de ferramentas e equipamentos | 449052"
663;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;342;8510;213.2;Materiais e acessórios de proteção individual AVENTAL DE PROTEÇÃO em PVC Modelo: forrado em poliéster, tipo: impermeável, cor: branca, comprimento:120 cm x largura:70 cm | 339030
667;GBS;publicado com pendência;unidade_fornecimento_ausente,mes_ausente;170394;343;4240;12000.0;"CAIXA DE TRANSPORTE MODULAR. Tipo ""case"" rígido, com dimensões de aproximadamente 120cm x 70cm x 60cm, estanque para proteção e organização de ferramentas e equipamentos | 449052"
668;DIREN;publicado com pendência;unidade_fornecimento_ausente;170394;344;9290;9000.0;Estatuto da PcD e a Fiscalização de Atos de Pessoal - Escola de Contas do Tribunal de Contas de Santa Catarina | 339039
