GND,DESCRIÇÃO GND,CÓD CLASSE CATMAT/CATSER,DEMANDANTE,CLASSE,DESCRIÇÃO DO OBJETO,MÊS PRETENDIDO PARA A ENTREGA DA CONTRATAÇÃO,QUANTIDADE,VALOR UNITÁRIO,VALOR TOTAL,VALOR DE PRIORIDADE DEMANDANTE,PRIORIDADE DO DEMANDANTE,PRIORIDADE DA ÁREA TÉCNICA,CÓDIGO GND,,
44905208,"APAR.EQUIP.UTENS.MED.,ODONT,LABOR.HOSPIT.",6530,GAEPH,"MATERIAL - EQUIPAMENTOS E ARTIGOS PARA USO MÉDICO, DENTÁRIO E VETERINÁ-RIO - MOBILIÁRIO, EQUIPAMENTOS, UTENSÍLIOS E SUPRIMENTOS HOSPITALARES","Frasco aspirador tipo Venturi para oxigenoterapia, confeccionado em material plástico resistente, destinado à administração controlada de oxigênio por meio de sistema Venturi.",DEZEMBRO,173,122,"R$ 21.106,00",80,101º,,,,
44905224,"EQUIPAMENTO DE PROTECAO, SEGURANCA E SOCORRO",4240,GBS,"MATERIAL - EQUIPAMENTO PARA COMBATE A INCÊNDIO, RESGATE E SEGURANÇA - EQUIPAMENTO PARA SEGURANÇA E SALVAMENTO","LÂMINA DE SERRA SABRE (especial) - tamanho aproximado: entre 14cm e 16 cm. Material: carbide ou do tipo ""heavy duty"". Lâmina com espessura reforçada. Utilizada para corte de materiais extremos como: metal espesso, aço inox, ferro fundido, madeira com prego e/ou materiais compostos. Demais especificações conforme Termo de Referência. ",,200,"49,99","R$ 9.998,00",76,101º,,,,
44905238,"MAQ., FERRAMENTAS E UTENSILIOS DE OFICINA",4920,COMAV,MATERIAL - EQUIPAMENTOS PARA OFICINAS DE MANUTENÇÃO E REPAROS - EQUIPAMENTO ESPECIALIZADO PARA OFICINA DE MANUTENÇÃO E REPA-RO DE AERONAVES,"Escada/plataforma de inspeção móvel para aeronaves em alumínio, altura ajustável, base com rodízios travantes e guarda-corpo, para inspeção de rotor principal, cauda e fuselagem de helicóptero",JANEIRO,2,18000,"R$ 36.000,00",74,101º,,,,
33903948,SERVICO DE SELECAO E TREINAMENTO,9290,DIREN,SERVIÇO - OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO - OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO, contratação de serviço comum de empresa especializada em ministrar treinamento de recuperação de atitudes anormais (Upsety Recovery) ,FEVEREIRO,7,3900,"R$ 27.300,00",7,101º,,,,
33903022,MATERIAL DE LIMPEZA E PROD. DE HIGIENIZACAO,7920,DIMAT,"MATERIAL - EQUIPAMENTOS E MATERIAIS PARA LIMPEZA - VASSOURAS, ESCOVAS, RODOS, ESPONJAS E ESFREGÕES","(ID 27776) - Artigos e utensílios para limpeza PANO, Descrição: microfibra para limpeza automotiva: Gramatura: 220 gsm; Composição: 80% Poliéster, 20% Poliamida, dimensões 40 cm x40 cm, cores sortidas.",AGOSTO,30,"R$ 13,00","R$ 390,00",12,102º,,,,
44905208,"APAR.EQUIP.UTENS.MED.,ODONT,LABOR.HOSPIT.",6530,PODON,"MATERIAL - EQUIPAMENTOS E ARTIGOS PARA USO MÉDICO, DENTÁRIO E VETERINÁ-RIO - MOBILIÁRIO, EQUIPAMENTOS, UTENSÍLIOS E SUPRIMENTOS HOSPITALARES","(ID 43938) PAPEL GRAU CIRÚRGICO 200 X 300MM, descrição: poliéster ou polipropileno, gramatura 80 g/m². Forma De Apresentação: envelope autosselante de 200x300mm, com indicador, Prazo de validade: 75% do prazo total de validade do produto, Unidade De Estoque: pacote com 100 unidades (pct). Unidade De Fornecimento: pacote com 100 unidades de envelope de 200x300mm, com indicador, permitindo variação de +/ - 10%. Medida: Pacote",FEVEREIRO,70,82,"R$ 5.740,00",1,102º,,,,
44905208,"APAR.EQUIP.UTENS.MED.,ODONT,LABOR.HOSPIT.",6530,POMED,"MATERIAL - EQUIPAMENTOS E ARTIGOS PARA USO MÉDICO, DENTÁRIO E VETERINÁ-RIO - MOBILIÁRIO, EQUIPAMENTOS, UTENSÍLIOS E SUPRIMENTOS HOSPITALARES","(ID 44404) CURETA DE OUVIDO, Descrição: cureta (estilete cureta cerúmen), Tipo: Fenestrada, Formato: Ponta Reta, Aplicação: P/ Cerume, Comprimento Total: 15 CM, aceitando variação de ± 0,5 CM, Material: Aço Inoxidável, Esterilidade: Esterilizável. Medida: Unidade",JANEIRO,10,"57,15","R$ 571,50",2,102º,,,,
44905208,"APAR.EQUIP.UTENS.MED.,ODONT,LABOR.HOSPIT.",6530,GAEPH,"MATERIAL - EQUIPAMENTOS E ARTIGOS PARA USO MÉDICO, DENTÁRIO E VETERINÁ-RIO - MOBILIÁRIO, EQUIPAMENTOS, UTENSÍLIOS E SUPRIMENTOS HOSPITALARES","Frasco coletor para aspiração de secreções, confeccionado em vidro resistente, reutilizável e compatível com sistemas de sucção hospitalar.",DEZEMBRO,18,111,"R$ 1.998,00",80,102º,,,,
44905258,EQUIPAMENTOS DE MERGULHO E SALVAMENTO,4220,GBS,"MATERIAL - EQUIPAMENTO PARA COMBATE A INCÊNDIO, RESGATE E SEGURANÇA - EQUIPAMENTO PARA MERGULHO E SALVAMENTO MARÍTIMO",COLETE SALVA VIDAS. Tamanho G. Homologado pela Marinha do Brasil. Demais especificações conforme Termo de Referência.,,20,"139,38","R$ 2.787,60",76,102º,,,,
44905238,"MAQ., FERRAMENTAS E UTENSILIOS DE OFICINA",4920,COMAV,MATERIAL - EQUIPAMENTOS PARA OFICINAS DE MANUTENÇÃO E REPAROS - EQUIPAMENTO ESPECIALIZADO PARA OFICINA DE MANUTENÇÃO E REPA-RO DE AERONAVES,Escada articulada tipo cavalete antiderrapante para inspeção de motor e transmissão de helicóptero,JANEIRO,2,4500,"R$ 9.000,00",74,102º,,,,
